person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name
8166,b18_24,GB,High_school,,,,,Female,Slider-Style Mini Burgers
8167,bover_55,GB,BA,,,,,Female,Slider-Style Mini Burgers
8168,b25_35,GB,BA,,,,,Female,BBQ Glazed Homemade Meatballs
8169,b35_45,GB,MSc,,,,,Female,Pizza On The Grill I
8170,b25_35,GB,MSc,,,,,refuse_to_disc,Fish Tacos
8171,b18_24,GB,High_school,,,,,Female,BBQ Glazed Homemade Meatballs
8172,b45_55,GB,BA,,,,,Female,Slider-Style Mini Burgers
8173,b45_55,GB,MSc,,,,,Female,Angela's Awesome Enchiladas
8174,b25_35,GB,BA,,,,,Male,Chef John's Italian Meatballs
8175,b45_55,GB,High_school,,,,,Male,Manicotti Alla Romana
8176,b18_24,GB,BA,,,,,refuse_to_disc,Taqueria Style Tacos - Carne Asada
8177,bover_55,GB,MSc,,,,,refuse_to_disc,Easy Herb Roasted Turkey
8178,b35_45,GB,BA,,,,,Male,Slow Cooked Corned Beef for Sandwiches
8179,b18_24,GB,High_school,,,,,Female,Pizza Without the Red Sauce
8180,b18_24,GB,High_school,,,,,Female,Slider-Style Mini Burgers
8181,bover_55,GB,High_school,,,,,Female,Slider-Style Mini Burgers
8182,b18_24,GB,BA,,,,,Female,Szechwan Shrimp
8183,b18_24,GB,High_school,,,,,Female,Taqueria Style Tacos - Carne Asada
8184,b35_45,GB,High_school,,,,,Female,Manicotti Alla Romana
8185,b18_24,GB,MSc,,,,,Female,Spinach and Mushroom Quesadillas
8186,b25_35,GB,BA,,,,,Female,Chipotle Crusted Pork Tenderloin
8187,b35_45,GB,MSc,,,,,Female,Slow Cooked Corned Beef for Sandwiches
8188,b35_45,GB,High_school,,,,,Female,World's Best Lasagna
8189,b25_35,GB,High_school,,,,,Female,Zippy Summer Shrimp
8190,b45_55,GB,High_school,,,,,Female,Awesome Slow Cooker Pot Roast
8191,b18_24,GB,BA,,,,,Female,Garden Veggie Pizza Squares
8192,b25_35,GB,High_school,,,,,Female,Slow Cooked Corned Beef for Sandwiches
8193,b35_45,GB,High_school,,,,,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
8194,bover_55,GB,BA,,,,,Female,Indian Chicken Curry (Murgh Kari)
8195,b25_35,GB,High_school,,,,,Female,Szechwan Shrimp
8196,b25_35,GB,BA,,,,,Female,Black Bean and Rice Enchiladas
8197,b18_24,GB,High_school,,,,,Male,Salmon with Brown Sugar Glaze
8198,b45_55,GB,High_school,,,,,Female,Taco Pizza
8199,b45_55,GB,MSc,,,,,Female,Pizza On The Grill I
8200,b45_55,GB,BA,,,,,Female,Garden Veggie Pizza Squares
8201,bover_55,GB,High_school,,,,,Female,Chef John's Italian Meatballs
8202,bover_55,GB,BA,,,,,Female,Slow Cooked Corned Beef for Sandwiches
8203,b25_35,GB,BA,,,,,Female,Garlic Prime Rib
8204,b45_55,GB,High_school,,,,,Male,Slider-Style Mini Burgers
14275,b35_45,US,BA,['No dietary restrictions'],['No goals'],Low,Unhealthy,Male,Ray's Chicken
14276,b25_35,US,High_school,['No dietary restrictions'],"['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",Medium,Neither_healthy_no_unhealthy,Male,Sarge's EZ Pulled Pork BBQ
14277,b35_45,US,BA,['No dietary restrictions'],['Lose weight'],Low,Neither_healthy_no_unhealthy,Male,Bow Ties with Sausage' Tomatoes and Cream
14278,b25_35,US,High_school,['No dietary restrictions'],['No goals'],High,Neither_healthy_no_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
14280,b25_35,US,BA,['No dietary restrictions'],['Eat more fruit'],High,Healthy,Female,Pizza Without the Red Sauce
14281,b35_45,US,BA,['No dietary restrictions'],"['Eat less salt', 'Eat less sugar', 'Eat more vegetables']",High,Healthy,Male,Cajun Chicken Pasta
14282,b45_55,US,BA,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Female,California Grilled Veggie Sandwich
14284,b18_24,US,BA,['Vegetarian'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Female,Coconut Shrimp I
14285,bover_55,US,BA,['No dietary restrictions'],"['Eat less salt', 'Eat more fruit', 'Eat more vegetables', 'Lose weight']",High,Neither_healthy_no_unhealthy,Male,Chipotle Shrimp Tacos
14287,bover_55,US,BA,['No dietary restrictions'],['Eat more vegetables'],Medium,Neither_healthy_no_unhealthy,Female,Margarita Grilled Shrimp
14290,b25_35,US,High_school,"['Halal', ' Lactose intolerance', ' Vegetarian']","['Eat less salt', 'Eat more fruit', 'Eat more vegetables']",High,Healthy,Male,Bacon Jack Chicken Sandwich
14293,b45_55,US,BA,['Diabetes'],['Lose weight'],Medium,Healthy,Male,Simple Carnitas
14294,bover_55,US,MSc,['No dietary restrictions'],['Lose weight'],Medium,Neither_healthy_no_unhealthy,Male,G's Flank Steak Marinade
14295,b25_35,US,BA,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Male,Foolproof Rib Roast
14296,b45_55,US,High_school,"['Diabetes', ' Lactose intolerance']",['Eat less sugar'],High,Healthy,Female,Chicken Asparagus Roll-Ups
14297,b18_24,US,MSc,['Vegetarian'],['Eat less sugar'],Very_Low,Very_Healthy,Female,Spinach and Feta Turkey Burgers
14324,b45_55,US,MSc,"['Lactose intolerance', ' Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Male,Goat Cheese and Spinach Turkey Burgers
14326,b25_35,US,BA,['No dietary restrictions'],['No goals'],Very High,Very_Healthy,Male,Marinated Grilled Shrimp
14327,b45_55,US,MSc,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",Medium,Neither_healthy_no_unhealthy,Female,Italian Subs - Restaurant Style
14328,b45_55,US,MSc,"['Gluten free', ' Halal', ' Pescatarian']","['Eat more fruit', 'Eat more vegetables']",High,Healthy,Female,Simple Carnitas
14329,b45_55,US,BA,['No dietary restrictions'],"['Eat less salt', 'Eat more fruit', 'Eat more vegetables', 'Lose weight']",Medium,Very_Healthy,Male,Hearty Vegetable Lasagna
14330,b45_55,AX,MSc,"['Diabetes', ' Gluten free', ' Halal', ' Kosher', ' Pescatarian', ' Vegetarian']","['Eat less salt', 'Eat less sugar', 'Eat more protein', 'Gain weight']",Low,Unhealthy,Female,Farmer's Market Vegetarian Quesadillas
14331,b45_55,US,MSc,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Female,Marinated Grilled Shrimp
14332,b45_55,US,BA,['No dietary restrictions'],['No goals'],High,Healthy,Male,Dee's Roast Pork for Tacos
14333,b45_55,US,BA,['Vegetarian'],"['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables', 'Lose weight']",Very High,Healthy,Male,Souvlaki
14334,b35_45,US,BA,['No dietary restrictions'],"['Eat less sugar', 'Eat more vegetables']",High,Healthy,Female,Jalapeno Chicken II
14336,b35_45,US,BA,"['Gluten free', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Male,Farmer's Market Vegetarian Quesadillas
14337,b45_55,US,BA,['Vegetarian'],['Eat less sugar'],High,Healthy,Female,Garden Veggie Pizza Squares
14338,b45_55,US,MSc,"['No dietary restrictions', ' Gluten free', ' Kosher']","['Eat less sugar', 'Eat more protein']",Medium,Healthy,Female,Kickin' London Broil with Bleu Cheese Butter
14340,b45_55,US,MSc,"['Lactose intolerance', ' Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Female,Cajun Chicken Pasta
14343,b45_55,US,BA,"['Gluten free', ' Halal', ' Kosher', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more protein']",High,Healthy,Female,Italian Subs - Restaurant Style
14344,b25_35,US,BA,['Vegetarian'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Male,Grilled Sausage with Potatoes and Green Beans
14346,b45_55,US,MSc,['Lactose intolerance'],['Eat more fruit'],Medium,Neither_healthy_no_unhealthy,Female,Baked Teriyaki Chicken
14347,b45_55,US,MSc,"['Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Male,Juicy Lucy Burgers
14348,b45_55,US,MSc,['Diabetes'],"['Eat less salt', 'Eat less sugar']",Medium,Healthy,Male,Charley's Slow Cooker Mexican Style Meat
14349,b45_55,US,MSc,['Diabetes'],"['Eat less salt', 'Eat less sugar']",Medium,Healthy,Female,Spinach Cheese Manicotti
14350,b35_45,US,BA,['Vegetarian'],['Lose weight'],High,Very_Healthy,Female,Simple Carnitas
14351,b45_55,US,BA,['Diabetes'],['No goals'],Medium,Neither_healthy_no_unhealthy,Male,Roast Sticky Chicken-Rotisserie Style
14352,b35_45,US,BA,['Vegetarian'],['Eat more fruit'],High,Healthy,Male,Kathy's Roast and Vegetables
14353,b25_35,US,BA,"['Gluten free', ' Vegetarian']",['Gain weight'],High,Healthy,Female,Spinach and Feta Turkey Burgers
14354,b45_55,US,MSc,"['Lactose intolerance', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",Medium,Neither_healthy_no_unhealthy,Female,Tomato Bacon Grilled Cheese
14355,b25_35,US,BA,['Diabetes'],['No goals'],High,Neither_healthy_no_unhealthy,Female,Easy Herb Roasted Turkey
14356,b25_35,US,MSc,['Vegetarian'],['Eat more fruit'],Very High,Very_Healthy,Male,Pizza On The Grill I
14357,b45_55,US,MSc,"['Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Female,Spinach and Feta Turkey Burgers
14358,b35_45,US,High_school,['No dietary restrictions'],"['Eat more protein', 'Eat more vegetables']",Medium,Unhealthy,Male,Kickin' London Broil with Bleu Cheese Butter
14360,b45_55,US,BA,"['Halal', ' Kosher', ' Lactose intolerance', ' Pescatarian']","['Eat more fruit', 'Eat more protein']",High,Very_Healthy,Female,Italian Subs - Restaurant Style
14361,b45_55,US,MSc,"['Lactose intolerance', ' Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Male,Grilled Tilapia with Mango Salsa
14362,b35_45,US,BA,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",Medium,Healthy,Male,Chicken Marsala Florentine
14363,b25_35,US,BA,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Foolproof Rib Roast
14364,b35_45,US,MSc,"['Lactose intolerance', ' Pescatarian']","['Eat less salt', 'Eat more fruit', 'Eat more vegetables']",High,Healthy,Female,Simple Carnitas
14365,b35_45,US,BA,['Diabetes'],['Eat less sugar'],Medium,Healthy,Male,Crispy Fried Chicken
14367,b25_35,US,BA,"['Diabetes', ' Lactose intolerance', ' Pescatarian']","['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Female,Bacon Jack Chicken Sandwich
14370,b45_55,US,MSc,['Diabetes'],"['Eat less salt', 'Eat less sugar']",High,Healthy,Male,Kickin' London Broil with Bleu Cheese Butter
14371,b35_45,US,BA,['No dietary restrictions'],['No goals'],Medium,Healthy,Male,Spinach Tomato Tortellini
14376,b25_35,US,BA,['No dietary restrictions'],['No goals'],Medium,Healthy,Male,Beer Butt Chicken
14380,b45_55,US,MSc,['Diabetes'],"['Eat less salt', 'Eat less sugar']",High,Healthy,Male,G's Flank Steak Marinade
14385,b35_45,US,BA,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
14386,b45_55,US,MSc,['Kosher'],['Eat more protein'],Medium,Healthy,Female,Teena's Spicy Pesto Chicken and Pasta
14389,b25_35,US,BA,['Vegetarian'],"['Eat less salt', 'Eat less sugar', 'Eat more protein', 'Eat more vegetables']",Medium,Healthy,Male,Three Cheese Manicotti II
14390,b45_55,US,MSc,"['Lactose intolerance', ' Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Female,Pizza On The Grill I
14391,b45_55,US,MSc,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables', 'Gain weight']",Medium,Healthy,Female,Bacon Jack Chicken Sandwich
14392,b35_45,US,BA,['Diabetes'],"['Eat less salt', 'Eat less sugar']",Medium,Healthy,Male,Spinach and Feta Turkey Burgers
14393,b25_35,US,BA,"['Kosher', ' Lactose intolerance', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more vegetables']",Medium,Neither_healthy_no_unhealthy,Male,Mama's Best Broiled Tomato Sandwich
14394,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Garlic Prime Rib
14395,b25_35,US,BA,['Diabetes'],['Eat more protein'],Medium,Very_Healthy,Male,Linguine Pasta with Shrimp and Tomatoes
14396,b25_35,US,BA,['Pescatarian'],['Eat more fruit'],High,Very_Healthy,Female,California Grilled Veggie Sandwich
14397,b35_45,US,BA,['No dietary restrictions'],"['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Neither_healthy_no_unhealthy,Male,Shoyu Chicken
14398,b45_55,US,MSc,['No dietary restrictions'],"['Eat less sugar', 'Eat more fruit', 'Eat more protein']",Medium,Neither_healthy_no_unhealthy,Female,Spinach and Feta Turkey Burgers
14399,b25_35,US,BA,"['Diabetes', ' Kosher', ' Lactose intolerance', ' Pescatarian']","['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",Very High,Healthy,Female,Grilled Marinated Shrimp
14400,b25_35,US,BA,['Vegetarian'],"['Eat less sugar', 'Eat more fruit', 'Eat more vegetables']",High,Very_Healthy,Male,California Grilled Veggie Sandwich
14401,b25_35,US,BA,"['Kosher', ' Lactose intolerance']","['Eat less sugar', 'Eat more fruit']",High,Healthy,Male,G's Flank Steak Marinade
14402,b45_55,US,MSc,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables', 'Gain weight']",Medium,Neither_healthy_no_unhealthy,Female,Charley's Slow Cooker Mexican Style Meat
14403,b25_35,US,BA,"['Diabetes', ' Gluten free']","['Eat less sugar', 'Eat more fruit']",High,Healthy,Male,Grilled Sausage with Potatoes and Green Beans
14404,b25_35,US,BA,['No dietary restrictions'],['No goals'],High,Healthy,Male,Sloppy Joes II
14405,b25_35,US,BA,['Vegetarian'],['Eat more vegetables'],Medium,Very_Healthy,Female,Sausage' Peppers' Onions' and Potato Bake
14406,b25_35,US,BA,"['Halal', ' Kosher', ' Lactose intolerance']","['Eat more protein', 'Eat more vegetables']",Medium,Healthy,Male,Champagne Shrimp and Pasta
14407,b45_55,US,MSc,['Vegetarian'],['No goals'],High,Healthy,Male,Italian Subs - Restaurant Style
14408,b25_35,US,MSc,['Vegetarian'],['Eat more fruit'],High,Very_Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
14409,b45_55,US,MSc,['No dietary restrictions'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables', 'Gain weight']",Medium,Neither_healthy_no_unhealthy,Female,Chicken Asparagus Roll-Ups
14410,b25_35,US,BA,['No dietary restrictions'],['Eat more protein'],High,Very_Healthy,Male,Kickin' London Broil with Bleu Cheese Butter
14411,b35_45,US,BA,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Bacon Jack Chicken Sandwich
14412,b35_45,US,MSc,"['Diabetes', ' Vegetarian']","['Eat less sugar', 'Eat more protein']",High,Healthy,Female,Simple Carnitas
14413,b35_45,US,High_school,['No dietary restrictions'],"['Eat less salt', 'Eat less sugar', 'Gain weight']",Low,Healthy,Male,Simple Carnitas
14414,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Medium,Healthy,Male,Charley's Slow Cooker Mexican Style Meat
14415,b45_55,US,BA,['Diabetes'],['No goals'],High,Very_Healthy,Female,Queenie's Killer Tomato Bagel Sandwich
14416,b25_35,US,BA,['Vegetarian'],['Eat less sugar'],High,Healthy,Female,Queenie's Killer Tomato Bagel Sandwich
14417,b25_35,US,BA,['Vegetarian'],['Eat more fruit'],Medium,Very_Healthy,Female,Pico de Gallo Chicken Quesadillas
14418,bover_55,US,BA,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Female,Slow Cooker Cilantro Lime Chicken
14419,b25_35,US,BA,"['Halal', ' Kosher', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more protein']",High,Healthy,Female,Soul Smothered Chicken
14420,b35_45,US,BA,['Pescatarian'],['Eat more fruit'],High,Healthy,Female,Marinated Grilled Shrimp
14421,b18_24,US,BA,['Vegetarian'],"['Eat more fruit', 'Eat more protein', 'Gain weight']",Medium,Neither_healthy_no_unhealthy,Male,Grilled Tilapia with Mango Salsa
14422,b45_55,US,MSc,['Vegetarian'],['No goals'],High,Very_Healthy,Female,Firecracker Grilled Alaska Salmon
14423,b45_55,US,High_school,['No dietary restrictions'],['No goals'],High,Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
14424,b25_35,US,MSc,['Vegetarian'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Male,Italian Sausage' Peppers' and Onions
14425,b25_35,US,BA,['No dietary restrictions'],['No goals'],High,Neither_healthy_no_unhealthy,Male,Linguine Pasta with Shrimp and Tomatoes
14426,b45_55,US,High_school,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Female,Stuffed Shells III
14427,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Medium,Healthy,Male,Best Tuna Melt (New Jersey Diner Style)
14428,bover_55,US,High_school,['Vegetarian'],['No goals'],Medium,Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
14429,bover_55,US,High_school,['No dietary restrictions'],['No goals'],Medium,Healthy,Female,Spinach Quiche
14430,b25_35,US,MSc,['Diabetes'],['Eat more vegetables'],High,Healthy,Male,Sausage' Peppers' Onions' and Potato Bake
16284,b18_24,AL,BA,"['No dietary restrictions', ' Gluten free']",['Lose weight'],Very_Low,Unhealthy,Female,Pizza On The Grill I
16285,under_18,AF,High_school,['Diabetes'],['No goals'],Very_Low,Very_unhealthy,Male,Mama's Best Broiled Tomato Sandwich
16286,b25_35,US,BA,['No dietary restrictions'],['No goals'],Medium,Healthy,Male,Chicken Souvlaki Gyro Style
16287,bover_55,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more vegetables', ' Lose weight']",Medium,Neither_healthy_no_unhealthy,Female,Pork Chops Stuffed with Smoked Gouda and Bacon
16288,b35_45,US,High_school,"['No dietary restrictions', ' Diabetes']","['Eat less salt', ' Eat less sugar', ' Eat more fruit']",Medium,Neither_healthy_no_unhealthy,Male,Queenie's Killer Tomato Bagel Sandwich
16289,b35_45,US,High_school,['No dietary restrictions'],['Eat more vegetables'],Very_Low,Neither_healthy_no_unhealthy,Male,Sesame Seared Tuna
16290,b45_55,US,High_school,['No dietary restrictions'],['No goals'],Medium,Healthy,Female,Marinated Grilled Shrimp
16291,b35_45,US,BA,['No dietary restrictions'],"['Eat less salt', ' Lose weight']",Low,Neither_healthy_no_unhealthy,Male,Spicy Grilled Shrimp
16292,b25_35,US,MSc,"['Halal', ' Vegetarian']","['Eat less salt', ' Eat more protein']",High,Healthy,Male,Baked Halibut Steaks
16293,b25_35,US,BA,['No dietary restrictions'],"['Eat less salt', ' Eat less sugar', ' Eat more vegetables']",High,Healthy,Male,Roast Leg of Lamb with Rosemary
16294,b35_45,US,MSc,['Diabetes'],"['Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Gain weight']",High,Very_Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
16295,b25_35,US,MSc,"['Diabetes', ' Gluten free', ' Halal']","['Eat less sugar', ' Eat more vegetables']",High,Very_Healthy,Male,Simple Carnitas
16296,b25_35,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more vegetables']",Medium,Neither_healthy_no_unhealthy,Male,Bacon Jack Chicken Sandwich
16297,b35_45,US,BA,['Vegetarian'],['Lose weight'],Medium,Healthy,Female,Farmer's Market Vegetarian Quesadillas
16298,b45_55,US,BA,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Male,Brown Sugar Meatloaf
16299,b45_55,US,BA,['No dietary restrictions'],['No goals'],Medium,Healthy,Male,G's Flank Steak Marinade
16300,bover_55,US,MSc,['Kosher'],"['Eat less sugar', ' Eat more protein', ' Eat more vegetables']",High,Healthy,Female,Spinach and Feta Turkey Burgers
16301,bover_55,US,High_school,['No dietary restrictions'],['No goals'],High,Unhealthy,refuse_to_disc,Cajun Chicken Pasta
16302,b35_45,US,MSc,['Vegetarian'],"['Eat more fruit', ' Eat more vegetables']",Medium,Healthy,Male,Italian Subs - Restaurant Style
16303,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Medium,Very_Healthy,Male,Kickin' London Broil with Bleu Cheese Butter
16304,b35_45,US,High_school,['No dietary restrictions'],['Gain weight'],Low,Neither_healthy_no_unhealthy,Male,Juicy Lucy Burgers
16305,b25_35,US,High_school,['No dietary restrictions'],['Lose weight'],Medium,Neither_healthy_no_unhealthy,Male,Cajun Chicken Pasta
16306,b35_45,US,BA,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Male,Sarge's EZ Pulled Pork BBQ
16307,b35_45,US,MSc,['No dietary restrictions'],"['Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Gain weight']",High,Very_Healthy,Male,Black Bean and Corn Quesadillas
16308,b25_35,US,BA,['No dietary restrictions'],"['Eat more fruit', ' Eat more vegetables']",High,Very_Healthy,Male,Spinach and Feta Pita Bake
16309,b25_35,US,MSc,"['Halal', ' Lactose intolerance', ' Pescatarian']","['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more vegetables']",High,Very_Healthy,Male,Kickin' London Broil with Bleu Cheese Butter
16310,b25_35,US,Doctorate,"['Halal', ' Kosher', ' Lactose intolerance', ' Pescatarian', ' Vegetarian']","['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more protein']",High,Very_Healthy,Male,Ray's Chicken
16312,b35_45,US,BA,['No dietary restrictions'],['No goals'],Medium,Healthy,Female,Bow Ties with Sausage' Tomatoes and Cream
16313,b35_45,US,Less_high_school,['No dietary restrictions'],['No goals'],Medium,Unhealthy,Female,Garlic Salmon
16314,b45_55,US,BA,['No dietary restrictions'],['Lose weight'],Medium,Neither_healthy_no_unhealthy,Male,Grilled Sausage with Potatoes and Green Beans
16315,b35_45,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more protein']",Medium,Healthy,Male,Sarge's EZ Pulled Pork BBQ
16316,b35_45,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more protein', ' Eat more vegetables']",Medium,Healthy,Male,Sarge's EZ Pulled Pork BBQ
16317,b35_45,US,High_school,['No dietary restrictions'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",Very High,Neither_healthy_no_unhealthy,Male,Chicken and Bacon Shish Kabobs
16318,b45_55,US,High_school,['No dietary restrictions'],"['Eat less salt', ' Eat less sugar', ' Eat more protein']",High,Neither_healthy_no_unhealthy,Female,Marinated Pork Tenderloin
16319,bover_55,US,MSc,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Female,Dijon-Tarragon Cream Chicken
16320,b45_55,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Eat more protein', ' Gain weight']",Medium,Healthy,Male,Stuffed Shells I
16321,b25_35,US,BA,"['Gluten free', ' Kosher', ' Pescatarian', ' Vegetarian']","['Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",High,Healthy,Female,California Grilled Veggie Sandwich
16322,b45_55,US,BA,['Vegetarian'],['Eat more vegetables'],High,Neither_healthy_no_unhealthy,Female,California Grilled Veggie Sandwich
16323,b45_55,US,BA,['Diabetes'],['No goals'],High,Healthy,Male,Sarge's EZ Pulled Pork BBQ
16325,b25_35,US,BA,['Gluten free'],"['Eat less salt', ' Eat more fruit']",High,Healthy,Male,Pizza On The Grill I
16326,b25_35,US,MSc,"['Halal', ' Kosher', ' Lactose intolerance']","['Eat less salt', ' Eat less sugar', ' Eat more fruit']",High,Very_Healthy,Male,Grilled Tilapia with Mango Salsa
16327,b25_35,US,BA,['No dietary restrictions'],"['Eat more fruit', ' Eat more protein', ' Eat more vegetables']",Medium,Very_Healthy,Male,BBQ Pork for Sandwiches
16328,bover_55,US,High_school,['No dietary restrictions'],['Lose weight'],High,Healthy,Female,Simple BBQ Ribs
16329,b25_35,US,MSc,"['Gluten free', ' Pescatarian']","['Eat less sugar', ' Eat more protein']",High,Very_Healthy,Male,Pizza On The Grill I
16330,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Medium,Unhealthy,Male,Chicken Cordon Bleu II
16331,b25_35,US,High_school,['No dietary restrictions'],['Lose weight'],Medium,Neither_healthy_no_unhealthy,Male,Best Beef Dip Ever
16332,b25_35,US,BA,['No dietary restrictions'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more vegetables']",High,Healthy,Female,Blackened Tilapia with Secret Hobo Spices
16333,b45_55,US,BA,['Diabetes'],"['No goals', ' Eat more fruit']",High,Neither_healthy_no_unhealthy,Male,Sarge's EZ Pulled Pork BBQ
16334,b35_45,US,MSc,['No dietary restrictions'],['No goals'],High,Neither_healthy_no_unhealthy,Female,Charley's Slow Cooker Mexican Style Meat
16335,b18_24,US,High_school,['Vegetarian'],"['Eat less salt', ' Eat less sugar', ' Eat more fruit', ' Eat more protein', ' Eat more vegetables']",Medium,Healthy,Female,Italian Subs - Restaurant Style
16336,b35_45,US,Doctorate,['No dietary restrictions'],['No goals'],High,Healthy,Female,Chicken In Basil Cream
16337,b25_35,US,High_school,"['Diabetes', ' Lactose intolerance']",['Lose weight'],High,Neither_healthy_no_unhealthy,Female,Sausage' Peppers' Onions' and Potato Bake
16338,b35_45,US,MSc,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Male,Spinach and Feta Turkey Burgers
16339,b25_35,US,MSc,['No dietary restrictions'],"['Eat more protein', ' Eat more vegetables', ' Lose weight']",High,Very_Healthy,Male,Spinach Cheese Manicotti
16340,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
16341,b25_35,US,MSc,['Vegetarian'],"['Eat less sugar', ' Eat more fruit', ' Eat more vegetables']",Low,Neither_healthy_no_unhealthy,Male,California Grilled Veggie Sandwich
16342,b35_45,US,BA,['No dietary restrictions'],['No goals'],Medium,Neither_healthy_no_unhealthy,Female,Bow Ties with Sausage' Tomatoes and Cream
16343,b25_35,US,BA,['No dietary restrictions'],['Eat more fruit'],High,Healthy,Male,Rosemary Lemon Grilled Chicken
16344,b35_45,US,BA,['No dietary restrictions'],"['Eat less sugar', ' Lose weight']",Medium,Neither_healthy_no_unhealthy,Male,Quick Chicken Piccata
16345,b25_35,US,BA,['No dietary restrictions'],['No goals'],Low,Very_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
16346,b25_35,US,BA,"['Gluten free', ' Halal', ' Lactose intolerance', ' Vegetarian']","['Eat more fruit', ' Eat more protein', ' Eat more vegetables', ' Lose weight']",High,Healthy,Male,Pizza On The Grill I
